Product,URL,Price
Philips 196V4LSB2,http://www.shopbot.com.au/pp-philips-196v4lsb2-price-419067.html,$104.95
Philips 200V4LSB,http://www.shopbot.com.au/pp-philips-200v4lsb-price-468239.html,$106.85
Philips 226V4LSB,http://www.shopbot.com.au/pp-philips-226v4lsb-price-420136.html,$132.82
Philips 226V4LAB,http://www.shopbot.com.au/pp-philips-226v4lab-price-407965.html,$135.77
Philips 247E3LHSU2 23.6 Inch Led Monitor (2139987),http://www.shopbot.com.au/pp-philips-247e3lhsu-price-350962.html,$149.00
"Philips 247E3LSU2 23.6"" LED Monitor (2148535)",http://www.shopbot.com.au/pp-philips-247e3lsu2-price-419608.html,$150.00
"Philips 21.5"" LED Monitor (2326152)",http://www.shopbot.com.au/pp-philips-226v3lsb-price-357475.html,$154.00
Philips 227E4LHAB,http://www.shopbot.com.au/pp-philips-227e4lhab-price-484725.html,$164.38
Philips 17.0inch; Monitor 17S4LSB 1280x1024,http://www.shopbot.com.au/pp-philips-17s4lsb-price-480856.html,$166.10
Philips 19.5inch; Monitor 200S4LMB 1600x900,http://www.shopbot.com.au/pp-philips-200s4lmb-price-484726.html,$173.25
Philips 221B3LPCB,http://www.shopbot.com.au/pp-philips-221b3lpcb-price-343951.html,$177.32
Philips 246V5LHAB,http://www.shopbot.com.au/pp-philips-246v5lhab-price-431595.html,$179.44
Philips 221S3LCB,http://www.shopbot.com.au/pp-philips-221s3lcb-price-430718.html,$184.13
Philips 19S4LSB,http://www.shopbot.com.au/pp-philips-19s4lsb-price-370702.html,$190.57
Philips 19S4LSB5,http://www.shopbot.com.au/pp-philips-19s4lsb5-price-456079.html,$190.96
Philips 220S4LCB,http://www.shopbot.com.au/pp-philips-220s4lcb-price-419823.html,$201.30
Philips 238C4QHSN,http://www.shopbot.com.au/pp-philips-238c4qhsn-price-419870.html,$207.02
Phillips 231S4LCB,http://www.shopbot.com.au/pp-phillips-231s4lcb-price-485385.html,$211.50
Philips 19B4LCB5,http://www.shopbot.com.au/pp-philips-19b4lcb5-price-456081.html,$216.69
Philips 220B4LPYCB,http://www.shopbot.com.au/pp-philips-220b4lpycb-price-445635.html,$240.06
Phillips 241B4LPYCB,http://www.shopbot.com.au/pp-phillips-241b4lpycb-price-361628.html,$241.15
Philips 273V5LHAB,http://www.shopbot.com.au/pp-philips-273v5lhab-price-456086.html,$254.01
Philips 240S4LPSBN,http://www.shopbot.com.au/pp-philips-240s4lpsbn-price-419759.html,$271.30
Philips 19B1CB,http://www.shopbot.com.au/pp-philips-19b1cb-price-222153.html,$276.70
Philips 220P4LPYEB,http://www.shopbot.com.au/pp-philips-220p4lpyeb-price-411405.html,$277.37
Philips 231P4UPEB,http://www.shopbot.com.au/pp-philips-231p4upeb-price-461248.html,$286
Philips 240S4LPMB,http://www.shopbot.com.au/pp-philips-240s4lpmb-price-456082.html,$289
Philips Brilliance 241P4QPYKEB,http://www.shopbot.com.au/pp-philips-brilliance-241p4qpykeb-price-419653.html,$315.80
"Philips 274E5QHAB 27"" Monitor LED Black (2489059)",http://www.shopbot.com.au/pp-philips-274e5qhab-price-437020.html,$329.00
Philips 278C4QHSN,http://www.shopbot.com.au/pp-philips-278c4qhsn-price-419719.html,$338
Philips 271P4QPJKEB,http://www.shopbot.com.au/pp-philips-271p4qpjkeb-price-431624.html,$434.51
Philips 298X4QJAB,http://www.shopbot.com.au/pp-philips-298x4qjab-price-426618.html,$542.30
Philips BDL3220QL,http://www.shopbot.com.au/pp-philips-bdl3220ql-price-456215.html,$542.40
Philips 298P4QJEB,http://www.shopbot.com.au/pp-philips-298p4qjeb-price-413288.html,$548.28
Philips 272P4QPJKEB,http://www.shopbot.com.au/pp-philips-272p4qpjkeb-price-437021.html,$650.01
Philips 288P6LJEB,http://www.shopbot.com.au/pp-philips-288p6ljeb-price-480857.html,$696.47
Philips C240P4QPYEW,http://www.shopbot.com.au/pp-philips-c240p4qpyew-price-461259.html,$699.83
Philips BDL3245E,http://www.shopbot.com.au/pp-philips-bdl3245e-price-351017.html,$849.98
Philips BDL4220QL,http://www.shopbot.com.au/pp-philips-bdl4220ql-price-456117.html,$889.30
Philips BDL4620QL,http://www.shopbot.com.au/pp-philips-bdl4620ql-price-456121.html,$994.68
Philips BDL4230E,http://www.shopbot.com.au/pp-philips-bdl4230e-price-279818.html,"$1,375.01"
Philips BDL4635E,http://www.shopbot.com.au/pp-philips-bdl4635e-price-279822.html,"$1,516.91"
PHILIPS BDL5520QL 55IN LED DISPLAY,http://www.shopbot.com.au/pp-philips-bdl5520ql-price-456136.html,"$1,811.65"
Philips BDL5551EL,http://www.shopbot.com.au/pp-philips-bdl5551el-price-437017.html,"$2,415.24"
Philips BDL5545E,http://www.shopbot.com.au/pp-philips-bdl5545e-price-351024.html,"$2,554.20"
Philips BDL6520EL,http://www.shopbot.com.au/pp-philips-bdl6520el-price-456085.html,"$3,051.40"
Philips BDL6551V,http://www.shopbot.com.au/pp-philips-bdl6551v-price-294287.html,"$9,081.60"